"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ASHGV40018316",-1.89074153466667,3.27768067966667,-40.2294071463327,9.46682406285973e-14,5.77703471611952e-09,20.1028598221566
"ASHGV40005347",-2.23825829216667,3.31531787675,-35.6140786402077,3.81310197036804e-13,1.1634536731987e-08,19.2281298212136
"ASHGV40025149",-2.0814985365,3.38275632275,-31.0619504535231,1.81490895516167e-12,3.69176680265952e-08,18.145681298016
"ASHGV40045002",-1.5323365405,3.18410274025,-29.977021745055,2.72077114367145e-12,4.15080845678517e-08,17.8478915654271
"ASHGV40022410",-1.46999001783333,3.06413511241667,-28.8140275777435,4.2679643739561e-12,5.20896515912594e-08,17.5089626072567
"ASHGV40016172",1.35819111533333,6.64203879866667,27.7818930522968,6.46104027775797e-12,5.70760761904428e-08,17.1897596734386
"ASHGV40009585",-1.53288008016667,3.26564901491667,-27.7495425830753,6.54713773815383e-12,5.70760761904428e-08,17.1794602545707
"ASHGV40058639",-2.45147791333333,3.4166170405,-26.5419465443229,1.08505367500365e-11,6.44827590868758e-08,16.7814835421685
"ASHGV40040017",-1.95805869116667,3.24875957391667,-26.5307222326201,1.09027391796951e-11,6.44827590868758e-08,16.7776572243454
"ASHGV40042942",-2.07575933916667,3.38821052208333,-26.4386942096247,1.13411720029915e-11,6.44827590868758e-08,16.7461941011702
"ASHGV40057759",-2.852168668,3.60276172816667,-26.3814612313867,1.1623465357165e-11,6.44827590868758e-08,16.7265446344786
"ASHGV40057893",-1.803449118,3.13034304333333,-24.7168997669126,2.43289491463533e-11,1.23720816058922e-07,16.1261815241499
"ASHGV40025058",3.07078012616667,7.04620286458333,24.3221827754803,2.91912613797764e-11,1.27425949073496e-07,15.9751833988953
"ASHGV40033775",-2.362909485,5.03100560183333,-24.3190529504798,2.92337979652094e-11,1.27425949073496e-07,15.9739721655947
"ASHGV40013255",-1.7834748415,3.29649513325,-24.0388971501451,3.3328129731266e-11,1.35587719248052e-07,15.8646495752475
"ASHGV40043498",-2.1204658095,3.42379682091667,-23.8644406559083,3.61895582730064e-11,1.38026975253246e-07,15.7956598434402
"ASHGV40006285",-1.29430462533333,3.116048351,-23.5541455644891,4.19600816999774e-11,1.50621883862319e-07,15.6711854500033
"ASHGV40023122",-1.97322372516667,7.87513517441667,-23.3416275562917,4.64851642046376e-11,1.54804297778907e-07,15.584605329629
"ASHGV40057889",-3.499610287,5.14676804133333,-23.2044603809894,4.96854784038691e-11,1.54804297778907e-07,15.5281395674352
"ASHGV40011812",-2.90227671666667,3.64112463,-23.1615333712534,5.07355459422216e-11,1.54804297778907e-07,15.5103733322688
"ASHGV40036720",-1.777411019,3.192565424,-22.7819064146655,6.11432320644316e-11,1.66564432055331e-07,15.3512550264488
"ASHGV40019278",-1.96856037533333,7.93869643516667,-22.7795417829178,6.12149084132067e-11,1.66564432055331e-07,15.3502525055099
"ASHGV40030762",-1.25692824983333,4.93490729408333,-22.7286999211488,6.27782829259409e-11,1.66564432055331e-07,15.3286628020165
"ASHGV40012110",-1.16398879783333,9.25528716741667,-22.5990359608963,6.69650365831132e-11,1.70269766351996e-07,15.2733014591186
"ASHGV40027013",-1.21777350616667,8.20853887975,-22.461894179765,7.17252739049183e-11,1.75078524590949e-07,15.2142739012576
"ASHGV40038358",3.79451447983333,7.05552409575,22.0819345369459,8.69405717032006e-11,1.99993660485453e-07,15.0481471116927
"ASHGV40038359",5.31904910583333,6.85977773541667,22.0271834151582,8.94077557692832e-11,1.99993660485453e-07,15.023890375445
"ASHGV40010220",-2.03737972433333,5.1885459045,-21.9763977385341,9.17642647743952e-11,1.99993660485453e-07,15.0013178360865
"ASHGV40030232",-2.0735503995,3.51182326275,-21.8510263842818,9.78751705371367e-11,2.0595635885718e-07,14.9452932355423
"ASHGV40003052",5.62812964566667,12.6128494905,21.4906083665701,1.1803965077669e-10,2.40108388299891e-07,14.7818098769716
"ASHGV40031519",-1.66367798916667,3.20057200308333,-21.3376967126519,1.27919981261876e-10,2.51812546339508e-07,14.7113441555439
"ASHGV40059839",-4.55971141833334,4.24086699716667,-21.1093081863605,1.44386880178712e-10,2.75345780500804e-07,14.6048440829044
"ASHGV40041323",-2.6841701965,3.59738901691667,-20.9538989434165,1.56900297674708e-10,2.90141932281861e-07,14.5315040717272
"ASHGV40054129",-2.1594514875,9.72441303291667,-20.7992891726322,1.70525016118019e-10,2.96521390220347e-07,14.4578306895693
"ASHGV40025777",-1.16935412966667,3.11652692466667,-20.7730735336577,1.72959927566079e-10,2.96521390220347e-07,14.4452676708682
"ASHGV40001053",-1.01508852216667,3.16766489091667,-20.7521812902464,1.74927406396377e-10,2.96521390220347e-07,14.4352409051617
"ASHGV40029416",-1.324989842,5.95581324466667,-20.6600012303912,1.83902811180658e-10,3.03310409445634e-07,14.3908436043308
"ASHGV40045641",5.64930914183333,10.2508393524167,20.603761345118,1.89623301718766e-10,3.04515062212789e-07,14.3636296352234
"ASHGV40016170",1.65904341016666,10.7776528049167,20.4959200051164,2.01139821750517e-10,3.0774121431778e-07,14.3111754627166
"ASHGV40050158",2.14196119266667,6.199805002,20.4906823115902,2.0171815306619e-10,3.0774121431778e-07,14.3086187356323
"ASHGV40055510",2.13209517466667,4.81730286216667,20.4020439940025,2.11783888085924e-10,3.14526758692964e-07,14.2652221612927
"ASHGV40038514",-1.96390148066667,5.37722144633333,-20.3622893843657,2.16474237432887e-10,3.14526758692964e-07,14.2456794021151
"ASHGV40012498",-1.3787626365,7.29817867158333,-20.2428851821129,2.31252351459455e-10,3.19808495786097e-07,14.1866849789988
"ASHGV40001106",-1.38668945666667,10.9252905283333,-20.1780137342969,2.39737060427083e-10,3.19808495786097e-07,14.15444560322
"ASHGV40058738",-3.49223725616667,3.91138105725,-20.1227270208468,2.47234909675636e-10,3.19808495786097e-07,14.1268643083603
"ASHGV40016813",-2.25333080866667,5.60065027683333,-20.1180566604878,2.478798442099e-10,3.19808495786097e-07,14.124529917143
"ASHGV40044239",-1.94499156166667,3.347944966,-20.0917015550645,2.51553614934004e-10,3.19808495786097e-07,14.1113437786429
"ASHGV40011784",-3.20033913216667,3.75980966591667,-20.0100953640909,2.63308660230259e-10,3.27921381263089e-07,14.0703731539758
"ASHGV40052946",-1.4657240165,5.40831365241667,-19.8839923901593,2.82661151036233e-10,3.44982281616702e-07,14.0066408861649
"ASHGV40020741",-1.198476361,3.120273936,-19.6903073543556,3.15454372629766e-10,3.53050124387135e-07,13.9077432134929
"ASHGV40021264",-1.8526079325,3.66885276825,-19.6829790938492,3.16773551640579e-10,3.53050124387135e-07,13.9039770824055
"ASHGV40059142",-1.75474951733333,6.18263606933333,-19.6729651610303,3.18585867438203e-10,3.53050124387135e-07,13.8988278579321
"ASHGV40047909",-2.646588939,3.74419889516667,-19.5750122022312,3.36918321571938e-10,3.53050124387135e-07,13.8482841278997
"ASHGV40043938",2.117050963,10.9643133285,19.5641595268934,3.390188207971e-10,3.53050124387135e-07,13.8426644565472
"ASHGV40034661",-2.035600859,3.48130758666667,-19.5147782513296,3.48757366772226e-10,3.53050124387135e-07,13.8170442892332
"ASHGV40034593",-1.62670676683334,6.92131639091667,-19.5080792175184,3.50101692794444e-10,3.53050124387135e-07,13.8135623662608
"ASHGV40045375",1.91046026516667,3.81255974125,19.5076773020962,3.50182525500736e-10,3.53050124387135e-07,13.8133534167207
