"lncRNA","NETs_gene","correlation"
"ASHGV40016184","S100A8",-0.600351611646724
"ASHGV40023241","S100A8",-0.655685227269852
"ASHGV40021412","S100A8",0.609128756641373
"ASHGV40015717","S100A8",0.700980731894028
"ASHGV40043381","S100A8",-0.639308169609303
"ASHGV40032032","S100A8",-0.617377431521052
"ASHGV40037754","S100A8",-0.649601677049217
"ASHGV40056468","S100A8",-0.615386426885195
"ASHGV40011257","S100A8",0.61730665955231
"ASHGV40005623","S100A8",-0.60182335834823
"ASHGV40007666","S100A8",-0.661789681821764
"ASHGV40007726","S100A8",-0.608572650597607
"ASHGV40007839","S100A8",-0.611308579904083
"ASHGV40035896","S100A8",0.636690550236075
"ASHGV40019818","S100A8",-0.613406676842186
"ASHGV40056030","S100A8",0.636317480813483
"ASHGV40028450","S100A8",-0.673134309271042
"ASHGV40055037","S100A8",0.619596536879916
"ASHGV40040285","S100A8",-0.610698051147499
"ASHGV40048162","S100A8",0.664330302084507
"ASHGV40055331","S100A8",0.664022540429166
"ASHGV40043558","S100A8",-0.607363072395894
"ASHGV40005002","S100A9",0.650871245824674
"ASHGV40036209","S100A9",0.690518149516084
"ASHGV40046004","S100A9",0.694414886721408
"ASHGV40057069","S100A9",0.698759591958787
"ASHGV40010320","S100A9",0.66895488579755
"ASHGV40053263","S100A9",0.706574631983457
"ASHGV40039711","S100A9",0.647665217009541
"ASHGV40016390","S100A9",0.691653816005547
"ASHGV40032419","S100A9",0.710501521295232
"ASHGV40052293","S100A9",0.70601303022991
"ASHGV40049879","S100A9",0.632401403510985
"ASHGV40014869","S100A9",-0.638558435864493
"ASHGV40060025","S100A9",0.714221232733465
"ASHGV40044460","S100A9",0.657311915196483
"ASHGV40026188","S100A9",0.609785042980277
"ASHGV40029541","S100A9",0.686855106211051
"ASHGV40035962","S100A9",0.679453576583775
"ASHGV40007576","S100A9",0.676591663441751
"ASHGV40024794","S100A9",0.797596012579233
"ASHGV40053260","S100A9",0.68054794943346
"ASHGV40028022","S100A9",0.618963106926621
"ASHGV40054739","S100A9",0.632893882354868
"ASHGV40033546","S100A9",0.788721059014494
"ASHGV40013108","S100A9",-0.669993192173717
"ASHGV40032403","S100A9",0.795840847807357
"ASHGV40037817","S100A9",0.66786119031592
"ASHGV40020283","S100A9",0.696394069679787
"ASHGV40055541","S100A9",0.639483529294743
